path,FileName,FileExt,Labcode,SequencingID,Description,FeatureVersion,Date,FeatureName,Pipeline,Pipeline_params,Pipeline_repo,Feature_Pipeline,Feature_Pipeline_params,Feature_Pipeline_repo,Ref_genome,Input,Input_type,Project,Sub_project,label1,label2,label3,label4,Note,member
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/6-MDGAAA31_S627.endcoord4bp.txt,6-MDGAAA31_S627.endcoord4bp.txt,txt,MDGAAA31,MDGAAA31,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,MRD_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,MRD,MRD_baseline_features,Lung,+,UMI,not available,not available,"hieunguyen,hieutran"
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/2-UHAA07_S627.endcoord4bp.txt,2-UHAA07_S627.endcoord4bp.txt,txt,UHAA07,UHAA07,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,MRD_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,MRD,MRD_baseline_features,HCC,?,UMI,not available,not available,"hieunguyen,hieutran"
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/60-ZMDGAAB65NB_S95015-S97015.endcoord4bp.txt,60-ZMDGAAB65NB_S95015-S97015.endcoord4bp.txt,txt,ZMDGAAB65NB,ZMDGAAB65NB,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,WGS_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,WGS,WGS_baseline_features,Pancreatic,Pancreatic,non-UMI,not available,not available,"hieunguyen,hieutran"
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/8-ZK0AAAB71NB_S95064-S97064.endcoord4bp.txt,8-ZK0AAAB71NB_S95064-S97064.endcoord4bp.txt,txt,ZK0AAAB71NB,ZK0AAAB71NB,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,WGS_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,WGS,WGS_baseline_features,Control,Control,non-UMI,not available,not available,"hieunguyen,hieutran"
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/32-ZMG042NB_S95046-S97046.endcoord4bp.txt,32-ZMG042NB_S95046-S97046.endcoord4bp.txt,txt,ZMG042NB,ZMG042NB,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,WGS_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,WGS,WGS_baseline_features,Gastric,Gastric,non-UMI,not available,not available,"hieunguyen,hieutran"
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/30-ZMB026NB_S95069-S97069.endcoord4bp.txt,30-ZMB026NB_S95069-S97069.endcoord4bp.txt,txt,ZMB026NB,ZMB026NB,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,WGS_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,WGS,WGS_baseline_features,Breast,Breast,non-UMI,not available,not available,"hieunguyen,hieutran"
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/35-ZK0AAAA93NB_S95020-S97020.endcoord4bp.txt,35-ZK0AAAA93NB_S95020-S97020.endcoord4bp.txt,txt,ZK0AAAA93NB,ZK0AAAA93NB,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,WGS_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,WGS,WGS_baseline_features,Control,Control,non-UMI,not available,not available,"hieunguyen,hieutran"
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/13-ZK0AAAB61NB_S95039-S97039.endcoord4bp.txt,13-ZK0AAAB61NB_S95039-S97039.endcoord4bp.txt,txt,ZK0AAAB61NB,ZK0AAAB61NB,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,WGS_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,WGS,WGS_baseline_features,Control,Control,non-UMI,not available,not available,"hieunguyen,hieutran"
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/14-ZMB130NB_S95054-S97054.endcoord4bp.txt,14-ZMB130NB_S95054-S97054.endcoord4bp.txt,txt,ZMB130NB,ZMB130NB,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,WGS_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,WGS,WGS_baseline_features,Breast,Breast,non-UMI,not available,not available,"hieunguyen,hieutran"
/Users/hieunguyen/src/DVC_system/examples/dummy_from_real/MRD_WGS_hg38/EM21_MRD_WGS/27-ZLBE404NB_S95022-S97022.endcoord4bp.txt,27-ZLBE404NB_S95022-S97022.endcoord4bp.txt,txt,ZLBE404NB,ZLBE404NB,21bp end motif,v0.1,2024-07-15 21:23:08,EM21,WGS_hg38,default,gitlab,ECD_WGS_MRD_feature_pipeline,default,gitlab,hg38,bam alignment from WGS and MRD data,bam,WGS,WGS_baseline_features,Esophageal,Esophageal,non-UMI,not available,not available,"hieunguyen,hieutran"
